longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,1.1890215,26.53762,116.5549,642.1901,32.697807,42.132675,72.811386,1268.1362,2019-10-05 12:00:00
74.4,31.6,30.778913,84.43974,21.478346,2056.1782,117.84442,84.702995,130.82217,1277.7676,2019-10-05 15:00:00
74.4,31.6,38.855736,90.47719,7.908694,2196.261,133.53696,89.95789,136.7419,1277.9462,2019-10-05 18:00:00
74.4,31.6,25.932514,78.93198,10.269956,1790.8956,103.98241,81.07629,123.43792,1277.5559,2019-10-05 21:00:00
74.4,31.6,0.62245107,9.167553,164.15276,462.73032,20.323143,48.670544,84.6082,1267.9591,2019-10-06 09:00:00
74.4,31.6,30.52343,65.26138,7.3286614,1756.8535,100.56175,85.47038,134.14917,1278.7341,2019-10-06 00:00:00
74.4,31.6,17.42856,58.920742,33.944244,1452.5706,79.60981,80.38617,130.03499,1276.919,2019-10-06 03:00:00
74.4,31.6,1.8070508,16.667686,149.18477,635.7051,29.085226,54.451397,88.552,1269.9883,2019-10-06 06:00:00
74.4,31.6,0.97368085,38.33801,96.46015,812.48096,43.27676,63.817356,101.53396,1272.1488,2019-10-06 12:00:00
74.4,31.6,0.57266337,41.671894,60.323196,801.6557,46.68599,62.027225,99.96903,1274.3867,2019-10-06 15:00:00
74.4,31.6,1.5109706,42.305252,41.615196,765.33044,45.66238,55.141895,93.45052,1275.1475,2019-10-06 18:00:00
74.4,31.6,6.793971,51.30945,26.582575,1099.9269,58.53282,67.05315,110.78086,1277.2329,2019-10-06 21:00:00
74.4,31.6,0.72749275,20.016489,136.43323,515.2361,26.505608,43.717316,74.75206,1265.0999,2019-10-07 12:00:00
74.4,31.6,5.9686785,74.0197,37.68026,1343.5568,81.09523,67.26273,104.00524,1274.3662,2019-10-07 15:00:00
74.4,31.6,32.92856,51.045456,23.599012,1635.701,83.83837,84.40838,132.88101,1277.5184,2019-10-07 00:00:00
74.4,31.6,9.217484,39.921696,60.361034,1065.6707,54.191612,71.44386,115.6117,1273.6515,2019-10-07 03:00:00
